text,classe
@iexandre extrema imprensa esquerdopata segue perseguicao raivosa presidente bolsonaro onde petralhas saqueando brasil ,1
 governo corrupcao fala bolsonaro gargalhada dei ,0
ta mto bom ve bonner maluco bolsonaro kkkkkkkmmmmkkkkkkkkk ,0
fanfics hoje william bonner incentiva bolsonaro ditador governo corrupcao ,0
assustador assistindo debate mainha defendendo bolsonaro kkkkkkkkkkkkk ,0
@kimpaim bolsonaro tritura ,0
 incentivando ditador presidente jair bolsonaro jornalista perguntou sobre centrao base governo acusava centrao caos politica ,0
cerebro milhoes bolsonaro q n consegue gravar 4 nomes diferentes #bolsonaronojn #jn https t co/nvoydvmgqo ,0
sentindo privilegiada ter ouvir bolsonaro tv ,0
educacao bolsonaro ,0
bolsonaro mentiroso #jn https t co/hjjmxdtbj0 ,0
caralho bolsonaro ta sendo bombardeado argumentos kkkkkkkk ,0
bolsonaro parece ta chapado caralho perguntam sobre assunto cara entende outra coisa ta engracado dms kkkkkkkkkkkk ,0
tava triste ai assistir bolsonaro globo agr n paro rir kkkkkkkkk mt bom homem burro parece q deficit ,1
bonner renata falarem centrao vez bolsonaro faz tal filho caga calcas ,0
entrevista bolsonaro #jn deveria vir tag informacoes apresentadas aqui tratam meras ilusoes refletem realidade ,0
bolsonaro foge perguntas dumfries vai pro ataque #forabolsonaro ,0
bolsonaro pro bonner bonner pro bolsonaro https t co/u16cpvytpy ,0
 bolsonaro indicou ministros tecnicos onix altamente corrupto ,0
bolsonaro governo corrupcao menino acredita mentiras fala #bolsonaronojn ,0
odeio bolsonaro falo fundo coracao deus perdoe odeio bolsonaro ,1
otario bolsonaro povo cai papo cara consegue falar frase faca sentido ,0
bolsonaro falando q corrupcao governo kkkkkkkkkkkk ai senhooooooor ,0
bolsonaro falando q bonner estimulando ditador cada q cretino fala ,0
vergonha ver bolsonaro falando ,0
bolsonaro fugindo pergunta centrao ,0
renata jantou hj pq ta fome vai comer bolsonaro todo vivo ,0
