text,classe
@emerson54962785 @luquinhas44_ onde lula igual borsonario bicho lula maior conciliador seculo xxi cara aperta mao todo mundo ,0
@sf_moro declaro voto lula bom ver vc sair desse processo todo tamanho q cada merece lula presidente vc cheio processos ,0
lula desmontou globo ataque mst #vamosjuntospelobrasil #lulano1oturno https t co/icns5s6bxl ,0
candidato presidenciavel luis inacio lula silva fala sobre ideais politicos diferentes cita exemplo laterais rafinha paulo filipe luis flamengo | 25/08/2022 https t co/8jfgdlpdzh ,0
lula gafe todo mundo falando bolsonaro inumeras gafes p postar todas kkkkkkkkkkkkkkk ,0
@lulaoficial ze dirceu explicando lula pt ajudaram implantar ditaduras comunistas https t co/6w9fsp36ek ,0
brasil lula https t co/fjajwxxszd https t co/rwgxxjv1ru ,0
empresas empregos 2018 lula impedido lancar candidatura apos condenado segunda instancia preso ambito operacao lava jato ex presidente solto 2019 apos decisao supremo tribunal federal stf mudou entendimento sobre prisao ,0
lula estadista #lulapresidente13 @lulaoficial @geraldoalckmin ,0
arte tergiversar dada 1 bolsonaro potencializada lula ,0
arte tergiversar dada 1 bolsonaro potencializada lula ,0
@ascanioseleme sergio moro tirou lula tirou eleicao 2018 ,0
dessa entrevista lula jn lula la ,0
lula elogiando alkimin fuder ,0
lula tomar cu sim vasco cheio problema querendo graca ,1
#lulanojn #lulapresidente13 lula mostrou inteligencia carisma https t co/tbrf7amaum ,0
@sf_moro lula tudo menos coisas boas kkkk cara #globolixo ,1
@ceclynch achei https t co/fxmkrzufw0 ,0
lula inocentado papai noel ne velho ridiculo kkkkkkkk acredita nele preguica estudar procurar saber oq realmente aconteceu ,0
amo lula ,0
lula sensacionalista volta ter graca https t co/y4tza6ighn ,0
 tange lula ,0
deus ta vendo faltou treino pra assistir lula @biavalentev ,0
presidente lula https t co/p5qiyuxkyc ,0
@taoquei1 porque homem bom oratoria fala povo fica nervosinho atacando mulher resumindo lula ,0
@andrelrpinto @mariabopp interessante portugues igual lula ladrao ,0
dia 01 janeiro 2023 presidente lula brasilia faz l vai primeiro turno vagabundo https t co/ldr0hw2xmh ,1
lula maior https t co/9pjz3ycf0j ,0
@sandraniskier @uolnoticias aqui aplaudiram lula final serio ,0
@bolsonarosp to chorando lindo lula amor x odio #lulanojn ,0
@palmeiras_mari presidente lula + palmeiras = pau cu salnorabo ,1
@danielalima_ lula 1 turno ,0
olha 2022 ta ta #lula https t co/jewno7zu2m ,0
sei debate pior lula bolsonaro escolher ladrao retardado ,1
ceara mirim livre sabatina jn lula foge pergunta sobre petrobr https t co/k7zc2s32ai https t co/nkytymyw9c ,0
@pastormalafaia vote fez vai fazer vote 13 vote lula @lulaoficial https t co/usqt7gwtsh ,0
@pedro_521 @andrade_jeanco @juniorrst @lorraynescc @filipeaugx disse q apoia lula n podia ciro q ideia meter pt tudo pra ter unico argumento pra defender governo atual ,0
@marciothadeu5 voto lula obg ta dificil escolher 1 digito chance lula nele ,0
